text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
specfi,specfi,VERB,VBN,advcl,True,False,2,[u'version of the diagnostics extension Will use the latest if not specfied', u'version of the diagnostics extension Will use the latest if not specfied']
twitter,twitter,PROPN,NNP,compound,True,False,2,[u'Application ID to integrate Twitter Sign in into your web app', u'Twitter Application client secret']
library,library,NOUN,NN,compound,True,False,1,[u' Returns only entities that satisfy the specified filter Note that no more than 15 discrete comparisons are permitted within a filter string See http msdn microsoft com en us library windowsazure dd894031 aspx for more information on constructing filters ']
tenantid,tenantid,PROPN,NNP,dobj,True,False,3,[u'This url can be found in the JSON output returned from your active directory endpoint using your tenantID The endpoint can be queried from az cloud show at endpoints activeDirectory The tenantID can be found using az account show Get the issuer from the JSON at active directory endpoint tenantId well known openid configuration ', u'This url can be found in the JSON output returned from your active directory endpoint using your tenantID The endpoint can be queried from az cloud show at endpoints activeDirectory The tenantID can be found using az account show Get the issuer from the JSON at active directory endpoint tenantId well known openid configuration ']
export,export,VERB,VB,compound,True,False,23,[u'Whether or not to export parameters template ', u'Export artifacts from a formula ']
convey,convey,VERB,VBZ,ROOT,True,False,6,[u'Conveys additional information about how to process the response payload and can also be used to attach additional metadata ', u'Conveys additional information about how to process the response payload and can also be used to attach additional metadata ']
recommendation,recommendation,NOUN,NN,compound,True,False,11,[u'Exclude from recommendation generation ', u'Include in recommendation generation ']
home,home,NOUN,NN,compound,True,False,6,[u'A list of certificates to be installed on each compute node in the pool If this element is present it replaces any existing certificate references configured on the pool If omitted any existing certificate references are left unchanged For Windows compute nodes the Batch service installs the certificates to the specified certificate store and location For Linux compute nodes the certificates are stored in a directory inside the task working directory and an environment variable AZ_BATCH_CERTIFICATES_DIR is supplied to the task to query for this location For certificates with visibility of remoteUser a certs directory is created in the user s home directory e g home user name certs and certificates are placed in that directory Space separated certificate thumbprints ', u'A list of certificates to be installed on each compute node in the pool If this element is present it replaces any existing certificate references configured on the pool If omitted any existing certificate references are left unchanged For Windows compute nodes the Batch service installs the certificates to the specified certificate store and location For Linux compute nodes the certificates are stored in a directory inside the task working directory and an environment variable AZ_BATCH_CERTIFICATES_DIR is supplied to the task to query for this location For certificates with visibility of remoteUser a certs directory is created in the user s home directory e g home user name certs and certificates are placed in that directory Space separated certificate thumbprints ']
asynchronously,asynchronously,ADV,RB,advmod,True,False,5,[u'Copies a file asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The File service copies files on a best effort basis If the destination file exists it will be overwritten The destination file cannot be modified while the copy operation is in progress ', u'Deletes a task from the specified job When a task is deleted all of the files in its directory on the compute node where it ran are also deleted regardless of the retention time For multi instance tasks the delete task operation applies synchronously to the primary task subtasks and their files are then deleted asynchronously in the background ']
transport,transport,NOUN,NN,compound,True,False,6,[u'Network transport protocol ', u'Network transport protocol ']
enrollmentread,enrollmentread,PROPN,NNP,pobj,True,False,1,[u'Create a new shared access policy in an Azure IoT Hub device provisioning service with EnrollmentRead right']
serviceconnect,serviceconnect,PROPN,NNP,compound,True,False,1,[u'Permissions of shared access policy Use space separated list for multiple permissions Possible values RegistryRead RegistryWrite ServiceConnect DeviceConnect']
batchaicontainer,batchaicontainer,NOUN,NN,pobj,True,False,1,[u'If provided the command will create a storage account in a new or existing resource group named batchaiautostorage It will also create Azure File Share with name batchaishare Azure Blob Container with name batchaicontainer The File Share and Blob Container will be mounted on each cluster node at AZ_BATCHAI_MOUNT_ROOT autoafs and AZ_BATCHAI_MOUNT_ROOT autobfs If the resource group already exists and contains an approapriate storage account belonging to the same region as cluster this command will reuse existing storage account ']
projectname,projectname,ADJ,JJ,attr,True,False,2,[u'URL of the Visual Studio Team Services VSTS project to use for continuous delivery URL should be in format https accountname visualstudio com projectname ', u'URL of the Visual Studio Team Services VSTS project to use for continuous delivery URL should be in format https accountname visualstudio com projectname ']
usequerystring,usequerystring,NOUN,NN,compound,True,False,2,[u'Defines the query string caching behavior Possible values include IgnoreQueryString BypassCaching UseQueryString NotSet ', u'Defines the query string caching behavior Possible values include IgnoreQueryString BypassCaching UseQueryString NotSet ']
affinityid,affinityid,ADJ,JJS,pobj,True,False,3,[u'Lists all of the tasks that are associated with the specified job For multi instance tasks information such as affinityId executionInfo and nodeInfo refer to the primary task Use the list subtasks API to retrieve information about subtasks ', u'An opaque string representing the location of a compute node or a task that has run previously You can pass the affinityId of a compute node to indicate that this task needs to run on that compute node Note that this is just a soft affinity If the target node is busy or unavailable at the time the task is scheduled then the task will be scheduled elsewhere ']
certificte,certificte,ADJ,JJ,dobj,True,False,1,[u'Create using a self signed certificte ']
locate,locate,VERB,VBN,relcl,True,False,8,[u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ', u'The directory where the files to be uploaded are located ']
schedule,schedule,NOUN,NN,conj,True,False,129,[u'List all of the jobs or job schedule in a Batch account ', u'The ID of the job schedule from which you want to get a list of jobs If omitted lists all jobs in the account ']
get_message,get_message,NOUN,NNS,acl,False,False,8,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ', u'Deletes the specified message Normally after a client retrieves a message with the get_messages operation the client is expected to process and delete the message To delete the message you must have two items of data id and pop_receipt The id is returned from the previous get_messages operation The pop_receipt is returned from the most recent func get_messages or func update_message operation In order for the delete_message operation to succeed the pop_receipt specified on the request must match the pop_receipt returned from the func get_messages or func update_message operation ']
expansion,expansion,NOUN,NN,pobj,True,False,8,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
expiry,expiry,ADJ,JJ,compound,True,False,3,[u' If not specified the default value is 0 Specifies the new visibility timeout value in seconds relative to server time The value must be larger than or equal to 0 and cannot be larger than 7 days The visibility timeout of a message cannot be set to a value later than the expiry time visibility_timeout should be set to a value smaller than the time to live value ', u' Specifies the new visibility timeout value in seconds relative to server time The new value must be larger than or equal to 1 second and cannot be larger than 7 days The visibility timeout of a message can be set to a value later than the expiry time ']
host,host,NOUN,NN,amod,True,False,34,[u'Host name of linked IoT Hub ', u'The host header CDN sends along with content requests to origin The default value is the host name of the origin ']
expire,expire,VERB,VB,relcl,True,False,26,[u'The time at which the account should expire If omitted the default is 1 day from the current time For Linux compute nodes the expiryTime has a precision up to a day Expected format is an ISO 8601 timestamp ', u'ISO 8601 or duration time format for Default message timespan to live value This is the duration after which the message expires starting from when the message is sent to Service Bus This is the default value used when TimeToLive is not set on a message itself ']
koreacentral,koreacentral,ADJ,JJ,amod,True,False,13,[u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 Use API version of ACS to perform az acs operations Available options 2017 01 31 2017 07 01 Default the latest version for the location', u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 The disk size for master pool vms Unit in GB Default corresponding vmsize disk size']
although,although,ADP,IN,mark,True,False,1,[u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
offset,offset,NOUN,NN,ROOT,True,False,1,[u'Filter results based on UTC hour offset ']
r,r,X,XX,compound,True,False,21,[u'The permissions the SAS grants Allowed values r ead query a dd u pdate d elete Do not use if a stored access policy is referenced with id that specifies this value Can be combined ', u'The permissions the SAS grants Allowed values c reate d elete r ead w rite Do not use if a stored access policy is referenced with id that specifies this value Can be combined ']
about,about,ADP,IN,prep,True,False,61,[u'Get information about a public IP resource ', u'Show information about a VM ']
rare,rare,ADJ,JJ,amod,True,False,2,[u'Enables automatic failover of the write region in the rare event that the region is unavailable due to an outage Automatic failover will result in a new write region for the account and is chosen based on the failover priorities configured for the account ', u'Enables automatic failover of the write region in the rare event that the region is unavailable due to an outage Automatic failover will result in a new write region for the account and is chosen based on the failover priorities configured for the account ']
socket,socket,NOUN,NN,nsubj,True,False,9,[u'The socket timeout secs used by the service to regulate data flow ', u'Specifies that connections to the given TCP port or Unix socket on the local client host are to be forwarded to the given host and port or Unix socket on the remote side e g L 8080 localhost 8080']
extension,extension,NOUN,NN,dobj,True,False,83,[u'Add an extension to a VMSS or update an existing extension ', u'Add an extension to a VMSS or update an existing extension ']
basis,basis,NOUN,NN,pobj,True,False,3,[u'Copies a file asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The File service copies files on a best effort basis If the destination file exists it will be overwritten The destination file cannot be modified while the copy operation is in progress ', u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
compatible,compatible,ADJ,JJ,amod,True,False,4,[u'output result in compatible with Azure SDK auth file', u'The SSH public key that can be used for remote login to the compute node The public key should be compatible with OpenSSH encoding and should be base 64 encoded This property can be specified only for Linux nodes If this is specified for a Windows node then the Batch service rejects the request if you are calling the REST API directly the HTTP status code is 400 Bad Request ']
dependency,dependency,NOUN,NNS,dobj,True,False,8,[u'Whether tasks in the job can define dependencies on each other The default is false True if flag present ', u'Proxy for pip to use for extension dependencies in the form of user passwd proxy server port']
certificatecommonname,certificatecommonname,ADJ,JJ,punct,True,False,2,[u'JSON encoded parameters configuration Use file to load from a file For example isAdmin true certificateCommonName test com certificateIssuerThumbprint 22B4AE296B504E512DF880A77A2CAE20200FF922 ', u'JSON encoded parameters configuration Use file to load from a file For example certificateCommonName test com certificateIssuerThumbprint 22B4AE296B504E512DF880A77A2CAE20200FF922 ']
software,software,PROPN,NNP,compound,True,False,1,[u'Manage template solutions provided and maintained by Independent Software Vendors ISVs ']
individually,individually,ADV,RB,advmod,True,False,1,[u'The timeout parameter is expressed in seconds This method may make multiple calls to the Azure service and the timeout will apply to each call individually ']
own,own,VERB,VBN,ROOT,True,False,2,[u'Restores a backed up key to a vault Imports a previously backed up key into Azure Key Vault restoring the key its key identifier attributes and access control policies The RESTORE operation may be used to import a previously backed up key Individual versions of a key cannot be restored The key is restored in its entirety with the same key name as it had when it was backed up If the key name is not available in the target Key Vault the RESTORE operation will be rejected While the key name is retained during restore the final key identifier will change if the key is restored to a different vault Restore will restore all versions and preserve version identifiers The RESTORE operation is subject to security constraints The target Key Vault must be owned by the same Microsoft Azure Subscription as the source Key Vault The user must have RESTORE permission in the target Key Vault ', u'The group Azure Active Directory object ID or user principal name to set as the owning group ']
previously,previously,ADV,RB,advmod,True,False,7,[u'Restores a backed up key to a vault Imports a previously backed up key into Azure Key Vault restoring the key its key identifier attributes and access control policies The RESTORE operation may be used to import a previously backed up key Individual versions of a key cannot be restored The key is restored in its entirety with the same key name as it had when it was backed up If the key name is not available in the target Key Vault the RESTORE operation will be rejected While the key name is retained during restore the final key identifier will change if the key is restored to a different vault Restore will restore all versions and preserve version identifiers The RESTORE operation is subject to security constraints The target Key Vault must be owned by the same Microsoft Azure Subscription as the source Key Vault The user must have RESTORE permission in the target Key Vault ', u'Restores a backed up key to a vault Imports a previously backed up key into Azure Key Vault restoring the key its key identifier attributes and access control policies The RESTORE operation may be used to import a previously backed up key Individual versions of a key cannot be restored The key is restored in its entirety with the same key name as it had when it was backed up If the key name is not available in the target Key Vault the RESTORE operation will be rejected While the key name is retained during restore the final key identifier will change if the key is restored to a different vault Restore will restore all versions and preserve version identifiers The RESTORE operation is subject to security constraints The target Key Vault must be owned by the same Microsoft Azure Subscription as the source Key Vault The user must have RESTORE permission in the target Key Vault ']
commitment,commitment,NOUN,NN,compound,True,False,4,[u'The desired commitment tier for this account to use ', u'The desired commitment tier for this account to use ']
dataset,dataset,NOUN,NNS,dobj,True,False,1,[u'Specifies additional datasets to include c opy info m etadata s napshots d eleted soft Can be combined ']
sharedaccesskey,sharedaccesskey,PROPN,NNP,dobj,True,False,4,[u'Required The type of the storage key to use Possible values include StorageAccessKey SharedAccessKey ', u'Required The storage key to use If storage key type is SharedAccessKey it must be preceded with a ']
weighted,weighted,PROPN,NNP,amod,True,False,2,[u'Weight of the endpoint when using the Weighted traffic routing method Values range from 1 to 1000 ', u'Weight of the endpoint when using the Weighted traffic routing method Values range from 1 to 1000 ']
registration,registration,NOUN,NN,pobj,True,False,3,[u'wait for the registration to finish', u'Managed OS disk ID or name to swap to Feature registration for Microsoft Compute AllowManagedDisksReplaceOSDisk is needed']
strategy,strategy,NOUN,NN,dobj,True,False,2,[u'Specify the deletion strategy when the share has snapshots ', u'Use a cordon and drain strategy to evict pods safely before removing the ACI node ']
primay,primay,PROPN,NNP,pobj,True,False,2,[u'shows properties of Geo Disaster Recovery Configuration Alias for Primay or Secondary Namespace', u'shows properties of Service Bus Geo Disaster Recovery Configuration Alias for Primay Secondary Namespace']
utility,utility,NOUN,NNS,pobj,True,False,1,[u'Get a token for utilities to access Azure ']
processor,processor,NOUN,NN,compound,True,False,1,[u'Processor architecture of the target system ']
networking,networking,NOUN,NN,dobj,True,False,4,[u'Enable accelerated networking ', u'Enable accelerated networking ']
additional,additional,ADJ,JJ,amod,True,False,21,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Conveys additional information about how to process the response payload and can also be used to attach additional metadata ']
elastic,elastic,ADJ,JJ,amod,True,False,30,[u'The name or resource id of the elastic pool to create the database in ', u'Create an elastic pool ']
transfer,transfer,NOUN,NN,compound,True,False,6,[u'Size of the transfer buffer in bytes ', u'Size of the transfer buffer in bytes ']
pairing,pairing,NOUN,NN,pobj,True,False,2,[u'Name if within the same resource group or ARM Id of Primary Secondary eventhub namespace name which is part of GEO DR pairing', u'Name if within the same resource group or ARM Id of the Primary Secondary eventhub namespace name which is part of GEO DR pairing']
owasp,owasp,PROPN,NNP,compound,True,False,1,[u'List available rule groups in OWASP type rule sets ']
much,much,ADJ,JJ,amod,True,False,1,[u'Specifies how much metadata to include in the response payload ']
invisibility,invisibility,NOUN,NN,dobj,True,False,2,[u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ', u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
var,var,NOUN,NN,compound,True,False,1,[u'Local path on the targeted VM at which to save the packet capture For Linux VMs the path must start with var captures ']
function,function,NOUN,NNS,dobj,True,False,64,[u' PREVIEW Manage Data Lake Analytics catalog table valued functions ', u'Delete an SSL certificate from a function app ']
north,north,PROPN,NNP,compound,True,False,4,[u'Retrieves statistics related to replication for the Queue service It is only available when read access geo redundant replication is enabled for the storage account With geo redundant replication Azure Storage maintains your data durable in two locations In both locations Azure Storage constantly maintains multiple healthy replicas of your data The location where you read create update or delete data is the primary storage account location The primary location exists in the region you choose at the time you create an account via the Azure Management Azure classic portal for example North Central US The location to which your data is replicated is the secondary location The secondary location is automatically determined based on the location of the primary it is in a second data center that resides in the same region as the primary location Read only access is available from the secondary location if read access geo redundant replication is enabled for your storage account ', u'Create a PostgreSQL server with only required paramaters in North Europe ']
azure_storage_connection_string,azure_storage_connection_string,NOUN,NN,ROOT,False,False,134,[u'Storage account connection string Environment variable AZURE_STORAGE_CONNECTION_STRING', u'Storage account connection string Environment variable AZURE_STORAGE_CONNECTION_STRING']
unwrap,unwrap,VERB,VB,conj,True,False,3,[u'Allow Disk Encryption to retrieve secrets from the vault and unwrap keys ', u'Allow Disk Encryption to retrieve secrets from the vault and unwrap keys ']
mycontainer,mycontainer,NOUN,NN,compound,True,False,4,[u' A URL of up to 2 KB in length that specifies an Azure file or blob The value should be URL encoded as it would appear in a request URI If the source is in another account the source must either be public or must be authenticated via a shared access signature If the source is public no authentication is required Examples https myaccount blob core windows net mycontainer myblob https myaccount blob core windows net mycontainer myblob snapshot DateTime https otheraccount blob core windows net mycontainer myblob sastoken', u' A URL of up to 2 KB in length that specifies an Azure file or blob The value should be URL encoded as it would appear in a request URI If the source is in another account the source must either be public or must be authenticated via a shared access signature If the source is public no authentication is required Examples https myaccount blob core windows net mycontainer myblob https myaccount blob core windows net mycontainer myblob snapshot DateTime https otheraccount blob core windows net mycontainer myblob sastoken']
bus,bus,PROPN,NNP,compound,True,False,101,[u'Create Authorization Rule for given Service Bus Topic', u'Create Authorization Rule for given Service Bus Topic']
ead,ead,NOUN,NN,compound,True,False,15,[u'The permissions the SAS grants Allowed values r ead query a dd u pdate d elete Do not use if a stored access policy is referenced with id that specifies this value Can be combined ', u'The permissions the SAS grants Allowed values c reate d elete r ead w rite Do not use if a stored access policy is referenced with id that specifies this value Can be combined ']
but,but,CCONJ,CC,cc,True,False,37,[u'The formula for the desired number of compute nodes in the pool The formula is validated and its results calculated but it is not applied to the pool To apply the formula to the pool Enable automatic scaling on a pool For more information about specifying this formula see Automatically scale compute nodes in an Azure Batch pool https azure microsoft com en us documentation articles batch automatic scaling ', u'Specifies a non negative integer n that limits the number of items returned from a collection The service returns the number of available items up to but not greater than the specified value n ']
delivery,delivery,NOUN,NN,dobj,True,False,11,[u'Enable https delivery of the custom domain ', u'URL of the Visual Studio Team Services VSTS project to use for continuous delivery URL should be in format https accountname visualstudio com projectname ']
virtualappliance,virtualappliance,PROPN,NNP,compound,True,False,2,[u'The IP address packets should be forwarded to when using the VirtualAppliance hop type ', u'The IP address packets should be forwarded to when using the VirtualAppliance hop type ']
poolbeingdeleted,poolbeingdeleted,PROPN,NNP,dep,True,False,1,[u'Deletes a pool from the specified account When you request that a pool be deleted the following actions occur the pool state is set to deleting any ongoing resize operation on the pool are stopped the Batch service starts resizing the pool to zero nodes any tasks running on existing nodes are terminated and requeued as if a resize pool operation had been requested with the default requeue option finally the pool is removed from the system Because running tasks are requeued the user can rerun these tasks by updating their job to target a different pool The tasks can then run on the new pool If you want to override the requeue behavior then you should call resize pool explicitly to shrink the pool to zero size before deleting the pool If you call an Update Patch or Delete API on a pool in the deleting state it will fail with HTTP status code 409 with error code PoolBeingDeleted ']
automated,automated,ADJ,JJ,amod,True,False,1,[u'Upload Azure Batch service log files from the specified compute node to Azure Blob Storage This is for gathering Azure Batch service log files in an automated fashion from nodes if you are experiencing an error and wish to escalate to Azure support The Azure Batch service log files should be shared with Azure support to aid in debugging issues with the Batch service ']
oauth,oauth,PROPN,NNP,nmod,True,False,2,[u'space separated URIs to which Azure AD will redirect in response to an OAuth 2 0 request The value does not need to be a physical endpoint but must be a valid URI ', u'space separated URIs to which Azure AD will redirect in response to an OAuth 2 0 request The value does not need to be a physical endpoint but must be a valid URI ']
eap,eap,PROPN,NNP,compound,True,False,1,[u'Create the VPN client configuration for RADIUS with EAP MSCHAV2 authentication ']
ha,ha,PROPN,NNP,compound,True,False,1,[u'Create an HA ports load balancing rule that assigns a frontend IP and port to use all available backend IPs in a pool on the same port ']
eat,eat,VERB,VBD,advcl,True,False,1,[u' A DateTime value Azure expects the date value passed in to be UTC If timezone is included any non UTC datetimes will be converted to UTC If a date is passed in without timezone info it is assumed to be UTC Specify this conditional header to copy the blob only if the destination blob has not been modified since the specified ate time If the destination blob has been modified the Blob service returns status code 412 Precondition Failed ']
count,count,NOUN,NN,nsubj,True,False,71,[u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ', u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ']
compute,compute,NOUN,NN,compound,True,False,195,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ']
whether,whether,ADP,IN,prep,True,False,107,[u'Check whether 10 0 0 4 is available within MyVnet ', u'Whether tasks in the job can define dependencies on each other The default is false True if flag present ']
wish,wish,VERB,VB,conj,True,False,1,[u'Upload Azure Batch service log files from the specified compute node to Azure Blob Storage This is for gathering Azure Batch service log files in an automated fashion from nodes if you are experiencing an error and wish to escalate to Azure support The Azure Batch service log files should be shared with Azure support to aid in debugging issues with the Batch service ']
resourcegroupname,resourcegroupname,PROPN,NNP,ROOT,True,False,1,[u'The full resource ID of a subnet in a virtual network to deploy the redis cache in Example format subscriptions subid resourceGroups resourceGroupName Microsoft Network ClassicNetwork VirtualNetworks vnet1 subnets subnet1']
record,record,NOUN,NN,compound,True,False,364,[u'Create an empty PTR record set ', u'Create the record set only if it does not already exist ']
below,below,ADP,IN,advmod,True,False,5,[u'Database and table information This can be either a JSON formatted string or the location to a file containing the JSON object See example below for the format ', u'The connection information to the target server This can be either a JSON formatted string or the location to a file containing the JSON object See example below for the format ']
dms,dms,PROPN,NNP,compound,True,False,11,[u'Place the CLI in a waiting state until a condition of the DMS instance is met ', u'Check if a given Project name is available within a given instance of DMS as well as the name s validity ']
limit,limit,VERB,VB,ROOT,True,False,52,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
byok,byok,NOUN,NNS,compound,True,False,2,[u'Import a private key Supports importing base64 encoded private keys from PEM files Supports importing BYOK keys into HSM for premium KeyVaults ', u'BYOK file containing the key to be imported Must not be password protected ']
distribution,distribution,NOUN,NN,dobj,True,False,1,[u'Display the current distribution of traffic across slots ']
display,display,VERB,VB,ROOT,True,False,45,[u'Display the current distribution of traffic across slots ', u'display name of policy definition']
marketplace,marketplace,PROPN,NNP,pobj,True,False,12,[u'List the VM image publishers available in the Azure Marketplace ', u'List the VM VMSS images available in the Azure Marketplace ']
myvnet,myvnet,NOUN,NN,pobj,True,False,2,[u'Check whether 10 0 0 4 is available within MyVnet ', u'Get details for MyVNet ']
timespan,timespan,NOUN,NN,pobj,True,False,20,[u'ISO 8601 or duration time format for Default message timespan to live value This is the duration after which the message expires starting from when the message is sent to Service Bus This is the default value used when TimeToLive is not set on a message itself ', u'ISO 8601 timespan or duration time format for idle interval after which the topic is automatically deleted The minimum duration is 5 minutes ']
recognize,recognize,VERB,VBZ,conj,True,False,1,[u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
max_single_get_size,max_single_get_size,NOUN,NN,dep,False,False,4,[u' If set to true validates an MD5 hash for each retrieved portion of the file This is primarily valuable for detecting bitflips on the wire if using http instead of https as https the default will already validate Note that the service will only return transactional MD5s for chunks 4MB or less so the first get request will be of size self MAX_CHUNK_GET_SIZE instead of self MAX_SINGLE_GET_SIZE If self MAX_CHUNK_GET_SIZE was set to greater than 4MB an error will be thrown As computing the MD5 takes processing time and more requests will need to be done due to the reduced chunk size there may be some increase in latency ', u' If set to 2 or greater an initial get will be done for the first self MAX_SINGLE_GET_SIZE bytes of the file If this is the entire file the method returns at this point If it is not it will download the remaining data parallel using the number of threads equal to max_connections Each chunk will be of size self MAX_CHUNK_GET_SIZE If set to 1 a single large get request will be done This is not generally recommended but available if very few threads should be used network requests are very expensive or a non seekable stream prevents parallel download This may also be valuable if the file is being concurrently modified to enforce atomicity or if many files are expected to be empty as an extra request is required for empty files if max_connections is greater than 1 ']
replica,replica,NOUN,NNS,pobj,True,False,15,[u'Permanently stop data replication between two database replicas ', u'Name of the resource group that the other replica is in If unspecified defaults to the first database s resource group ']
pip,pip,NOUN,NN,pobj,True,False,2,[u'Proxy for pip to use for extension dependencies in the form of user passwd proxy server port', u'Proxy for pip to use for extension dependencies in the form of user passwd proxy server port']
myc,myc,NUM,CD,ROOT,True,False,7,[u'The resource name Ex myC ', u'The resource name Ex myC ']
